ZH_LABEL^A_PORT^Z_PORT^TONGDAO_SULV^TONGDAO_ZHUANGTAI^A_CTP^Z_CTP^ROUTE_INFO^BACKUP_ROLE^PROTECT_GROUP^QUALITY_PERSON^ZH_LABEL_JT^CITY_ID^COUNTY_ID^FLOW_ID^RELATED_INTID^PATH_LEVEL^IS_SHARE^PATH_DIRECTION^PROTECTION_TYPE^IS_CONTIGUOUS^PATHMAKE_FLAG^PATH_TYPE^OWNERSHIP^IS_REDUNDANCY^REDUNDANCY_PURPOSE^IS_AZ_EQUAL^IS_LOW_USED^PATH_INTEND_USE_TYPE^PATH_REST_VOL^AS_FLAG^RELATED_CIR^ROUTE_INDEX^USERLABEL^A_SITE^A_SITE_NAME^A_ROOM^A_ROOM_NAME^A_NE_NAME^A_NE^A_PORT_NAME^A_CARD^A_TIME^A_CITY_ID^ROUTE_DESCIPTION_A^A_TYPE^PATH_A_PORT_TYPE^IS_EQUAL_A^Z_SITE^Z_SITE_NAME^Z_ROOM^Z_ROOM_NAME^Z_NE_NAME^Z_NE^Z_PORT_NAME^Z_TIME^Z_CARD^Z_CITY_ID^ROUTE_DESCIPTION_Z^Z_TYPE^PATH_Z_PORT_TYPE^IS_EQUAL_Z^DDF_CHECK_RESULT^CHECK_TIME^REMARK^STATEFLAG^TIME_STAMP^CREATOR^CREAT_TIME^MODIFIER^MODIFY_TIME^INT_ID^FDN^IS_ERROR^ERROR^RESFDN
澜沧县勐朗镇大水库超级基站(1207-澜沧县大水库（超级基站）-6-SP2D-07)(148-普洱4楼扩4-5-PQ1-18)思茅区普洱移动大楼^55009880^56067892^-1^1^-1617501840^117647185^^^^2265^澜沧县勐朗镇大水库超级基站(1207-澜沧县大水库（超级基站）-6-SP2D-07)(148-普洱4楼扩4-5-PQ1-18)思茅区普洱移动大楼^4^55^^^^^2^^^^1^^^^^^^^^^^148-普洱4楼扩4-1207-澜沧县大水库（-VC12-00935^3490902^澜沧县勐朗镇大水库超级基站^14206^澜沧县勐朗镇大水库超级基站一楼无线机房^1207-澜沧县大水库（超级基站）（待拆除）^53953195^1207-澜沧县大水库（超级基站）（待拆除）-6-SP2D-07^54469849^2M1^^^^^^1875^思茅区普洱移动大楼^15247^思茅区普洱移动大楼四楼综合机房^148-普洱4楼扩4^53952615^148-普洱4楼扩4-5-PQ1-18^2M1^54571091^^^^^^^^^0^2017-09-24 09:01:27^SYSTEM^2017-06-18 02:32:18^SYSTEM^2017-09-22 01:09:57^-1563386929^EMS=SIM-T2000-1-P:MultiLayerSubnetwork=1:SubnetworkConnection=2016-07-01 07:56:29 - 70071-sdh^^^
澜沧县移动公司(168-澜沧移动-2-N2SLO1-07)(148-普洱4楼扩4-3-PQ1-62)思茅区普洱移动大楼^56402334^56068307^-1^1^118399688^-1617496125^^^^2265^澜沧县移动公司(168-澜沧移动-2-N2SLO1-07)(148-普洱4楼扩4-3-PQ1-62)思茅区普洱移动大楼^4^55^^^^^2^^^^1^^^^^^^^^^^148-普洱4楼扩4-168-澜沧移动-VC12-00899^1860874^澜沧县移动公司^35848^澜沧县移动公司四楼无线机房^168-澜沧移动^53965783^168-澜沧移动-2-N2SLO1-07^54637255^155M1/2M30^^^^^^1875^思茅区普洱移动大楼^15247^思茅区普洱移动大楼四楼综合机房^148-普洱4楼扩4^53952615^148-普洱4楼扩4-3-PQ1-62^2M1^54571089^^^^^^^^^0^2017-06-24 02:13:27^SYSTEM^2017-06-18 02:32:17^SYSTEM^2017-06-24 02:13:27^-1563386930^EMS=SIM-T2000-1-P:MultiLayerSubnetwork=1:SubnetworkConnection=2016-06-16 06:19:36 - 67402-sdh^^^
昆明枢纽楼(6503-枢纽10层BSC扩展2-16-N2SLO1-01/155M1/2M42)(250-西山区新大地-3-SP1D-02)西山区新大地油漆厂^57196579^55973548^-1^1^114410248^113435366^电路占用^^^366322^昆明枢纽楼(6503-枢纽10层BSC扩展2-16-N2SLO1-01/155M1/2M42)(250-西山区新大地-3-SP1D-02)西山区新大地油漆厂^2^10304^^^4^0^1^^0^4^1^1^^^1^0^1^1^1^^^^1862^昆明枢纽楼^3729589^昆明枢纽楼十楼传输机房2^6503-枢纽10层BSC扩展2^53974467^6503-枢纽10层BSC扩展2-16-N2SLO1-01^54176016^155M1/2M42^2^昆明枢纽楼(6503-枢纽10层BSC扩展2-16-N2SLO1-01/155M1/2M42)《复用段线性保护1+1_23/155M7/2M36》昆明枢纽楼《二纤双向复用段共享保护环_19/B155M7/2M36》昆明枢纽楼《四纤双向复用段共享保护环_2/155M48/2M36》昆明东华《二纤双向复用段共享保护环_3545/A155M5/2M47》昆明高新《二纤单向通道保护环_7.KM-U2000-1-P/155M1/2M47》(250-西山区新大地-3-SP1D-02)西山区新大地油漆厂^0^^1^2176363^西山区新大地油漆厂^38943^西山区新大地油漆厂三楼无线机房^250-西山区新大地^53943303^250-西山区新大地-3-SP1D-02^2M1^54497969^2^西山区新大地油漆厂(250-西山区新大地-3-SP1D-02)《二纤单向通道保护环_7.KM-U2000-1-P/155M1/2M47》昆明高新《二纤双向复用段共享保护环_3545/B155M5/2M47》昆明东华《四纤双向复用段共享保护环_2/155M48/2M36》昆明枢纽楼《二纤双向复用段共享保护环_19/A155M7/2M36》昆明枢纽楼《复用段线性保护1+1_23/155M7/2M36》(6503-枢纽10层BSC扩展2-16-N2SLO1-01/155M1/2M42)昆明枢纽楼^0^^1^1^2013-06-13 09:59:57^^0^2020-09-25 05:00:10^^2013-06-09 17:20:29^SYSTEM^2020-09-25 05:00:10^76172143^EMS=KM-U2000-1-P:MultiLayerSubnetwork=1:SubnetworkConnection=2013-06-07 11:40:44 - 74405-sdh^^^
昆明枢纽楼(6503-枢纽10层BSC扩展2-16-N2SLO1-01/155M1/2M21)(250-西山区新大地-3-SP1D-03)西山区新大地油漆厂^57196579^55973550^-1^1^52870410^115754098^电路占用^^^366322^昆明枢纽楼(6503-枢纽10层BSC扩展2-16-N2SLO1-01/155M1/2M21)(250-西山区新大地-3-SP1D-03)西山区新大地油漆厂^2^10304^^^4^0^1^^0^4^1^1^^^1^0^1^1^1^^^^1862^昆明枢纽楼^3729589^昆明枢纽楼十楼传输机房2^6503-枢纽10层BSC扩展2^53974467^6503-枢纽10层BSC扩展2-16-N2SLO1-01^54176016^155M1/2M21^2^昆明枢纽楼(6503-枢纽10层BSC扩展2-16-N2SLO1-01/155M1/2M21)《复用段线性保护1+1_23/155M7/2M35》昆明枢纽楼《二纤双向复用段共享保护环_19/B155M7/2M62》昆明枢纽楼《四纤双向复用段共享保护环_2/155M48/2M62》昆明东华《二纤双向复用段共享保护环_3545/A155M5/2M62》昆明高新《二纤单向通道保护环_7.KM-U2000-1-P/155M1/2M62》(250-西山区新大地-3-SP1D-03)西山区新大地油漆厂^0^^1^2176363^西山区新大地油漆厂^38943^西山区新大地油漆厂三楼无线机房^250-西山区新大地^53943303^250-西山区新大地-3-SP1D-03^2M1^54497969^2^西山区新大地油漆厂(250-西山区新大地-3-SP1D-03)《二纤单向通道保护环_7.KM-U2000-1-P/155M1/2M62》昆明高新《二纤双向复用段共享保护环_3545/B155M5/2M62》昆明东华《四纤双向复用段共享保护环_2/155M48/2M62》昆明枢纽楼《二纤双向复用段共享保护环_19/A155M7/2M62》昆明枢纽楼《复用段线性保护1+1_23/155M7/2M35》(6503-枢纽10层BSC扩展2-16-N2SLO1-01/155M1/2M21)昆明枢纽楼^0^^1^1^2013-06-13 10:00:13^^0^2020-09-25 05:01:23^^2013-06-09 17:20:29^SYSTEM^2020-09-25 05:01:23^76172144^EMS=KM-U2000-1-P:MultiLayerSubnetwork=1:SubnetworkConnection=2013-06-07 11:40:44 - 74404-sdh^^^
澜沧县移动公司(168-澜沧移动-3-N1SLQ1-03)(148-普洱4楼扩4-13-PQ1-40)思茅区普洱移动大楼^54741009^56071137^-1^1^-1928071585^-1617496038^^^^2265^澜沧县移动公司(168-澜沧移动-3-N1SLQ1-03)(148-普洱4楼扩4-13-PQ1-40)思茅区普洱移动大楼^4^55^^^^^2^^^^1^^^^^^^^^^^148-普洱4楼扩4-168-澜沧移动-VC12-00987^1860874^澜沧县移动公司^35848^澜沧县移动公司四楼无线机房^168-澜沧移动^53965783^168-澜沧移动-3-N1SLQ1-03^54347521^155M1/2M54^^^^^^1875^思茅区普洱移动大楼^15247^思茅区普洱移动大楼四楼综合机房^148-普洱4楼扩4^53952615^148-普洱4楼扩4-13-PQ1-40^2M1^54571291^^^^^^^^^0^2017-06-24 02:13:27^SYSTEM^2017-06-18 02:32:18^SYSTEM^2017-06-24 02:13:27^-1563386928^EMS=SIM-T2000-1-P:MultiLayerSubnetwork=1:SubnetworkConnection=2016-07-20 07:50:31 - 70204-sdh^^^
西双版纳移动大楼(1051-景洪2-26-N2SLO1-01/155M1/2M3)《二纤单向通道保护环_1.BNA-T2000-1-P/155M1/2M60》景洪市大勐龙《二纤双向复用段共享保护环_2.BNA-T2000-1-P/B155M1/2M60》西双版纳移动大楼《二纤双向复用段^55998894^56997669^-1^1^117455032^119423557^电路占用^^^366261^西双版纳移动大楼(1051-景洪2-26-N2SLO1-01/155M1/2M3)《二纤单向通道保护环_1.BNA-T2000-1-P/155M1/2M60》景洪市大勐龙《二纤双向复用段共享保护环_2.BNA-T2000-1-P/B155M1/2M60》西双版纳移动大楼《二纤双向复用段^13^111^^^4^0^1^^0^2^1^1^^^1^0^1^0^1^^^^1828^西双版纳移动大楼^15200^西双版纳移动大楼二楼综合机房^1051-景洪2^53947791^1051-景洪2-26-N2SLO1-01^54562750^155M1/2M3^13^西双版纳移动大楼(1051-景洪2-26-N2SLO1-01/155M1/2M3)《二纤双向复用段共享保护环_17.BNA-T2000-1-P/A155M1/2M60》西双版纳移动大楼《二纤双向复用段共享保护环_9.BNA-T2000-1-P/A155M1/2M60》西双版纳移动大楼《二纤双向复用段共享保护环_2.BNA-T2000-1-P/A155M1/2M60》景洪市大勐龙《二纤单向通道保护环_1.BNA-T2000-1-P/155M1/2M60》(446-景哈-7-PD1-02)景洪市橄榄坝景哈^0^^1^2074018^景洪市橄榄坝景哈^29368^景洪市橄榄坝景哈一楼无线机房^446-景哈^53950464^446-景哈-7-PD1-02^2M1^54419727^13^景洪市橄榄坝景哈(446-景哈-7-PD1-02)《二纤单向通道保护环_1.BNA-T2000-1-P/155M1/2M60》景洪市大勐龙《二纤双向复用段共享保护环_2.BNA-T2000-1-P/B155M1/2M60》西双版纳移动大楼《二纤双向复用段共享保护环_9.BNA-T2000-1-P/B155M1/2M60》西双版纳移动大楼《二纤双向复用段共享保护环_17.BNA-T2000-1-P/B155M1/2M60》(1051-景洪2-26-N2SLO1-01/155M1/2M3)西双版纳移动大楼^0^^1^1^2014-04-28 17:34:57^^0^2015-05-08 00:13:49^^2012-07-25 17:29:16^SYSTEM^2015-05-08 00:13:49^76172112^EMS=BNA-T2000-1-P:MultiLayerSubnetwork=1:SubnetworkConnection=2012-02-25 01:04:22 - 8953-sdh^^^
西双版纳移动大楼(1051-景洪2-26-N2SLO1-01/155M1/2M4)《二纤单向通道保护环_1.BNA-T2000-1-P/155M1/2M55》景洪市大勐龙《二纤双向复用段共享保护环_2.BNA-T2000-1-P/B155M1/2M55》西双版纳移动大楼《二纤双向复用段^55998894^56997667^-1^1^115225613^118038043^电路占用^^^366261^西双版纳移动大楼(1051-景洪2-26-N2SLO1-01/155M1/2M4)《二纤单向通道保护环_1.BNA-T2000-1-P/155M1/2M55》景洪市大勐龙《二纤双向复用段共享保护环_2.BNA-T2000-1-P/B155M1/2M55》西双版纳移动大楼《二纤双向复用段^13^111^^^4^0^1^^0^2^1^1^^^1^0^1^0^1^^^^1828^西双版纳移动大楼^15200^西双版纳移动大楼二楼综合机房^1051-景洪2^53947791^1051-景洪2-26-N2SLO1-01^54562750^155M1/2M4^13^西双版纳移动大楼(1051-景洪2-26-N2SLO1-01/155M1/2M4)《二纤双向复用段共享保护环_17.BNA-T2000-1-P/A155M1/2M55》西双版纳移动大楼《二纤双向复用段共享保护环_9.BNA-T2000-1-P/A155M1/2M55》西双版纳移动大楼《二纤双向复用段共享保护环_2.BNA-T2000-1-P/A155M1/2M55》景洪市大勐龙《二纤单向通道保护环_1.BNA-T2000-1-P/155M1/2M55》(446-景哈-7-PD1-01)景洪市橄榄坝景哈^0^^1^2074018^景洪市橄榄坝景哈^29368^景洪市橄榄坝景哈一楼无线机房^446-景哈^53950464^446-景哈-7-PD1-01^2M1^54419727^13^景洪市橄榄坝景哈(446-景哈-7-PD1-01)《二纤单向通道保护环_1.BNA-T2000-1-P/155M1/2M55》景洪市大勐龙《二纤双向复用段共享保护环_2.BNA-T2000-1-P/B155M1/2M55》西双版纳移动大楼《二纤双向复用段共享保护环_9.BNA-T2000-1-P/B155M1/2M55》西双版纳移动大楼《二纤双向复用段共享保护环_17.BNA-T2000-1-P/B155M1/2M55》(1051-景洪2-26-N2SLO1-01/155M1/2M4)西双版纳移动大楼^0^^1^1^2014-04-28 17:34:18^^0^2015-05-08 00:13:49^^2012-07-25 17:44:38^SYSTEM^2015-05-08 00:13:49^76172113^EMS=BNA-T2000-1-P:MultiLayerSubnetwork=1:SubnetworkConnection=2012-02-25 01:04:01 - 8952-sdh^^^
昆明枢纽楼(1634-枢纽10层上半区扩7-4-PQ1-02)(5613-东川区大营盘超级基站-12-N2PQ1-02)东川区超级基站^55685799^56862758^-1^1^51455050^53448493^电路占用^^^366322^昆明枢纽楼(1634-枢纽10层上半区扩7-4-PQ1-02)(5613-东川区大营盘超级基站-12-N2PQ1-02)东川区超级基站^2^10304^^^4^0^1^^0^4^1^1^^^0^0^1^1^1^^^^1862^昆明枢纽楼^15989^昆明枢纽楼十楼传输机房1^1634-枢纽10层上半区扩7^53945870^1634-枢纽10层上半区扩7-4-PQ1-02^54509180^2M1^2^昆明枢纽楼(1634-枢纽10层上半区扩7-4-PQ1-02)《二纤双向复用段共享保护环_8.KM-U2000-1-P/A155M1/2M39》昆明枢纽楼《四纤双向复用段共享保护环_2/155M11/2M36》昆明东华《二纤双向复用段共享保护环_6.KM-U2000-1-P/A155M2/2M36》寻甸县邮政局《KM-U2000-1-P-二纤单向通道保护环_5/155M2/2M36》东川区电信局《二纤单向通道保护环_33.KM-U2000-1-P/155M3/2M36》(5613-东川区大营盘超级基站-12-N2PQ1-02)东川区超级基站^0^^1^3927069^东川区超级基站^6223319^东川区超级基站一楼无线机房^5613-东川区大营盘超级基站^53959120^5613-东川区大营盘超级基站-12-N2PQ1-02^2M1^54147415^2^东川区超级基站(5613-东川区大营盘超级基站-12-N2PQ1-02)《二纤单向通道保护环_33.KM-U2000-1-P/155M3/2M36》东川区电信局《KM-U2000-1-P-二纤单向通道保护环_5/155M2/2M36》寻甸县邮政局《二纤双向复用段共享保护环_6.KM-U2000-1-P/B155M2/2M36》昆明东华《四纤双向复用段共享保护环_2/155M11/2M36》昆明枢纽楼《二纤双向复用段共享保护环_8.KM-U2000-1-P/B155M1/2M39》(1634-枢纽10层上半区扩7-4-PQ1-02)昆明枢纽楼^0^^1^1^2013-12-23 13:35:36^^0^2021-07-21 05:48:42^^2013-06-09 17:17:21^SYSTEM^2021-07-21 05:48:42^76172120^EMS=KM-U2000-1-P:MultiLayerSubnetwork=1:SubnetworkConnection=2013-06-05 14:33:26 - 167175-sdh^^^
昆明枢纽楼(1634-枢纽10层上半区扩7-4-PQ1-01)(5613-东川区大营盘超级基站-12-N2PQ1-01)东川区超级基站^55685637^56862759^-1^1^118073078^114886282^电路占用^^^366322^昆明枢纽楼(1634-枢纽10层上半区扩7-4-PQ1-01)(5613-东川区大营盘超级基站-12-N2PQ1-01)东川区超级基站^2^10304^^^4^0^1^^0^4^1^1^^^0^0^1^1^1^^^^1862^昆明枢纽楼^15989^昆明枢纽楼十楼传输机房1^1634-枢纽10层上半区扩7^53945870^1634-枢纽10层上半区扩7-4-PQ1-01^54509180^2M1^2^昆明枢纽楼(1634-枢纽10层上半区扩7-4-PQ1-01)《二纤双向复用段共享保护环_8.KM-U2000-1-P/A155M1/2M33》昆明枢纽楼《四纤双向复用段共享保护环_2/155M11/2M33》昆明东华《二纤双向复用段共享保护环_6.KM-U2000-1-P/A155M2/2M33》寻甸县邮政局《KM-U2000-1-P-二纤单向通道保护环_5/155M2/2M33》东川区电信局《二纤单向通道保护环_33.KM-U2000-1-P/155M3/2M33》(5613-东川区大营盘超级基站-12-N2PQ1-01)东川区超级基站^0^^1^3927069^东川区超级基站^6223319^东川区超级基站一楼无线机房^5613-东川区大营盘超级基站^53959120^5613-东川区大营盘超级基站-12-N2PQ1-01^2M1^54147415^2^东川区超级基站(5613-东川区大营盘超级基站-12-N2PQ1-01)《二纤单向通道保护环_33.KM-U2000-1-P/155M3/2M33》东川区电信局《KM-U2000-1-P-二纤单向通道保护环_5/155M2/2M33》寻甸县邮政局《二纤双向复用段共享保护环_6.KM-U2000-1-P/B155M2/2M33》昆明东华《四纤双向复用段共享保护环_2/155M11/2M33》昆明枢纽楼《二纤双向复用段共享保护环_8.KM-U2000-1-P/B155M1/2M33》(1634-枢纽10层上半区扩7-4-PQ1-01)昆明枢纽楼^0^^1^1^2013-12-23 13:35:23^^0^2021-07-21 05:48:42^^2013-06-09 17:17:21^SYSTEM^2021-07-21 05:48:42^76172121^EMS=KM-U2000-1-P:MultiLayerSubnetwork=1:SubnetworkConnection=2013-06-05 14:33:26 - 167128-sdh^^^
