INT_ID^CITY_ID^PATH_INDEX^ROUTE_INDEX^ROUTE_IN_INDEX^ROUTE_RATE^RELATED_TRAPH_ID^ROUTE_DESCRIPTION^RELATED_PATH_ID^WORK_STATE^PATH_TYPE^A_SITE^Z_SITE^A_SITE_NAME^Z_SITE_NAME^A_TRANSNE_ID^A_TRANSNE^A_TRANSPORT_ID^A_TRANSVIRTUALPORT_ID^RELATED_A_TRANSCTP^Z_TRANSNE_ID^Z_TRANSNE^Z_TRANSPORT_ID^Z_TRANSVIRTUALPORT_ID^RELATED_Z_TRANSCTP^AVLANID^ZVLANID^MSTP_EXTS^A_MAC^A_MP^Z_MAC^Z_MP^ZH_LABEL^REMARK^STATEFLAG^TIME_STAMP^CREATOR^CREAT_TIME^MODIFY_TIME^MODIFIER
18^^1^1^0^^68783056^昆明高新(233-昆明高新3扩展2-2-PQ1-20)()大理榆宾路10号^76266187^1^1^1861^1836^五华区昆明高新^大理市榆宾路10号^53936654^233-昆明高新3扩展2^55874910^^^53936645^238-大理扩展2^55870465^^^^^^^^^^^^0^2014-06-18 00:37:56^^2011-02-24 15:46:53^2011-02-24 15:46:53^
19^^1^1^0^^68783057^昆明高新(233-昆明高新3扩展2-2-PQ1-21)()大理榆宾路10号^76266112^1^1^1861^1836^五华区昆明高新^大理市榆宾路10号^53936654^233-昆明高新3扩展2^55878350^^^53936645^238-大理扩展2^55870464^^^^^^^^^^^^0^2014-06-18 00:37:56^^2011-02-24 15:46:55^2011-02-24 15:46:55^
21^^1^1^0^^68783022^昆明高新(233-昆明高新3扩展2-2-PQ1-30)()大理榆宾路10号^76266189^1^1^1861^1836^五华区昆明高新^大理市榆宾路10号^53936654^233-昆明高新3扩展2^55875730^^^53936645^238-大理扩展2^55873943^^^^^^^^^^^^0^2014-06-18 00:37:56^^2011-02-24 15:46:59^2011-02-24 15:46:59^
22^^1^1^0^^68783023^昆明高新(233-昆明高新3扩展2-2-PQ1-31)《YN-T2000-3-S-231-昆明高新3链-2/155M1/2M31》昆明高新《YN-T2000-3-S-西南环-第3波/A155M1/2M31》(236-大理-2-JQ16-03/155M1)大理榆宾路10号^76266507^1^1^1861^1836^五华区昆明高新^大理市榆宾路10号^53936654^233-昆明高新3扩展2^55875920^^^53936698^236-大理^55872701^^^^^^^^^^^^0^2014-06-18 00:37:56^^2011-03-01 10:56:04^2011-03-01 10:56:04^
23^^1^1^0^^68783025^昆明高新(233-昆明高新3扩展2-2-PQ1-32)()大理榆宾路10号^76266190^1^1^1861^1836^五华区昆明高新^大理市榆宾路10号^53936654^233-昆明高新3扩展2^55875907^^^53936645^238-大理扩展2^55873939^^^^^^^^^^^^0^2014-06-18 00:37:56^^2011-02-24 15:47:01^2011-02-24 15:47:01^
24^^1^1^0^^68783024^昆明高新(233-昆明高新3扩展2-3-PQ1-01)()大理榆宾路10号^76266191^1^1^1861^1836^五华区昆明高新^大理市榆宾路10号^53936654^233-昆明高新3扩展2^55875674^^^53936645^238-大理扩展2^55873756^^^^^^^^^^^^0^2014-06-18 00:37:56^^2011-02-24 15:47:03^2011-02-24 15:47:03^
25^^1^1^0^^68783026^昆明高新(233-昆明高新3扩展2-3-PQ1-03)()大理榆宾路10号^76266116^1^1^1861^1836^五华区昆明高新^大理市榆宾路10号^53936654^233-昆明高新3扩展2^55875524^^^53936645^238-大理扩展2^55873747^^^^^^^^^^^^0^2014-06-18 00:37:56^^2011-02-24 15:47:06^2011-02-24 15:47:06^
27^^1^1^0^^68783030^昆明高新(233-昆明高新3扩展2-3-PQ1-05)()大理榆宾路10号^76266194^1^1^1861^1836^五华区昆明高新^大理市榆宾路10号^53936654^233-昆明高新3扩展2^55875722^^^53936645^238-大理扩展2^55873539^^^^^^^^^^^^0^2014-06-18 00:37:56^^2011-02-24 15:47:10^2011-02-24 15:47:10^
28^^1^1^0^^68783029^昆明高新(233-昆明高新3扩展2-3-PQ1-04)()大理榆宾路10号^76266117^1^1^1861^1836^五华区昆明高新^大理市榆宾路10号^53936654^233-昆明高新3扩展2^55875514^^^53936645^238-大理扩展2^55873745^^^^^^^^^^^^0^2014-06-18 00:37:56^^2011-02-24 15:47:08^2011-02-24 15:47:08^
29^^1^1^0^^68783028^昆明高新(269-昆明高新4扩展1-15-PQ1-01)()大理榆宾路10号^76266195^1^1^1861^1836^五华区昆明高新^大理市榆宾路10号^53936477^269-昆明高新4扩展1^55863893^^^53936773^237-大理扩展1^55869564^^^^^^^^^^^^0^2014-06-18 00:37:56^^2011-02-24 15:47:12^2011-02-24 15:47:12^
