ZH_LABEL^STATUS^VNE_STATUS^EQUIPROOM_ID^SUB_PACK_PLACE^BS_LEVEL^CAPACITY^SOFTWARE_VERSION^N3_IPADDRESS^BASIC_CAPACITY^BUSINESS_TYPE^HARDWARE_VERSION^N9_IPADDRESS^N9_IPV6ADDRESS^MAX_QOS_SUM^ASCRIPTION_POOL^MAX_DATA_THROUGHPUT^IF_SHARE^VNE_TYPE^RELATED_NFVOID^RELATED_OMC^PROVINCE^VENDOR^ACCESS_TIME^CJ_ID^NETWORK_IPV6^COVER_PROVINCE^VNF_NAME^COVER_CITY^QUALITOR^INT_ID^HOST_DOMAIN_FLAGE^NETWORK_IP^N4_IPADDRESS^IF_VNE^RELATED_SECTION_NO_LIST^RELATED_CORE_SECTION_LIST^N6_IPADDRESS^POWER_RACK^N6_IPV6^CITY_ID^S5S8_IPADDRESS^S5_S8U_IPV6^COUNTY_ID^S1_IPADDRESS^S1U_IPV6^UPF_TYPE^TIME_STAMP^STATEFLAG^CREATOR^REMARK^CREAT_TIME^MODIFY_TIME^MODIFIER^RMUID^RMUID_FUNCTION
KMUPF006BZX^工程^^2501800196^4518904195^核心机房-省级^39^V7.18.13^2409:806C:4040:0:0:0:0:28,2409:806C:4040:0:0:0:0:29,2409:806C:4040:0:0:0:0:2A,2409:806C:4040:0:0:0:0:2B,2409:806C:4040:0:0:0:0:2C,2409:806C:4040:0:0:0:0:2D,2409:806C:4040:0:0:0:0:2E,2409:806C:4040:0:0:0:0:2F^39^ToC^V7^117.142.233.41,117.142.233.42,117.142.233.43,117.142.233.44,117.142.233.45,117.142.233.46^2409:806D:2900:100::1:601,2409:806D:2900:100::1:602,2409:806D:2900:100::1:603,2409:806D:2900:100::1:604,2409:806D:2900:100::1:605,2409:806D:2900:100::1:606^390000^4407463784^95.215^否^虚拟网元^APP-XNCDxnqNFVO01AZX-08AHW010^APP-XNCDOMC02AZX-08AHW010^云南省^6^2021-05-12 00:00:00^^2409:806C:5A06:0307::0102:0609^云南省^^2^2760324^4410974148^^10.232.198.137^^0^^^^^^2^^^19^^^UPF^2021-09-08 13:46:03^0^^^^^^^5100ZTHX2UPF34GRRZT
PUEUPF001BZX^工程^^15226^3690404671^核心机房-市级^18^V7.18.13^2409:806C:4040:0:0:0:9:4,2409:806C:4040:0:0:0:9:5,2409:806C:4040:0:0:0:9:6,2409:806C:4040:0:0:0:9:7^18^ToC^V7^223.103.89.81,223.103.89.82,223.103.89.83,223.103.89.84^2409:806D:2906:100::1:101,2409:806D:2906:100::1:102,2409:806D:2906:100::1:103,2409:806D:2906:100::1:104^180000^4407463772^43.945^否^虚拟网元^APP-XNCDxnqNFVO01AZX-08AHW010^APP-XNCDOMC02AZX-08AHW010^云南省^6^2021-05-08 00:00:00^^2409:806C:5A06:C003::0102:0109^云南省^^4^2760324^4410974149^^10.232.207.9^^0^^^^^^4^^^51^^^UPF^2021-09-08 13:25:48^0^^^^^^^5100ZTHX2UPF3U2IEYZ
YUXUPF002BZX^工程^^-552429661^4503388942^核心机房-市级^17^V7.18.13^2409:806C:4040:0:0:0:7:C,2409:806C:4040:0:0:0:7:D,2409:806C:4040:0:0:0:7:E,2409:806C:4040:0:0:0:7:F^17^ToC^V7^223.103.89.105,223.103.89.106,223.103.89.107,223.103.89.108^2409:806D:2907:200::1:201,2409:806D:2907:200::1:202,2409:806D:2907:200::1:203,2409:806D:2907:200::1:204^180000^4407463781^43.945^否^物理网元^APP-XNCDxnqNFVO01AZX-08AHW010^APP-XNCDOMC02AZX-08AHW010^云南省^6^2021-05-26 00:00:00^^2409:806C:5A06:E009::0102:0209^云南省^^3^2760324^4410974150^^10.232.209.9^^0^^^^^^3^^^42^^^UPF^2021-09-08 13:36:56^0^^^^^^^5100ZTHX2UPF2WJHAQF
HOHUPF001BZX^工程^^12940764^206224157^核心机房-市级^36^V7.18.13^2409:806C:4040:0:0:0:3:0,2409:806C:4040:0:0:0:3:1,2409:806C:4040:0:0:0:3:2,2409:806C:4040:0:0:0:3:3,2409:806C:4040:0:0:0:3:4,2409:806C:4040:0:0:0:3:5,2409:806C:4040:0:0:0:3:6,2409:806C:4040:0:0:0:3:7^36^ToC^V7^223.103.89.17,223.103.89.18,223.103.89.19,223.103.89.20,223.103.89.21,223.103.89.22^2409:806D:2902:100::1:101,2409:806D:2902:100::1:102,2409:806D:2902:100::1:103,2409:806D:2902:100::1:104,2409:806D:2902:100::1:105,2409:806D:2902:100::1:106^360000^4407463776^87.891^否^虚拟网元^APP-XNCDxnqNFVO01AZX-08AHW010^APP-XNCDOMC02AZX-08AHW010^云南省^6^2021-05-12 00:00:00^^2409:806C:5A06:8005::0102:0109^云南省^^10^2760324^4410974175^^10.232.202.9^^0^^^^^^10^^^34^^^UPF^2021-09-09 19:44:06^0^^2020年5G二期Sa核心网工程云南节点工程（A20304610000001）^^^^^5100ZTHX2UPF2SGX0VV
LIJUPF001BZX^工程^^14342375^4520934096^核心机房-市级^11^V7.18.13^2409:806C:4040:0:0:0:D:4,2409:806C:4040:0:0:0:D:5,2409:806C:4040:0:0:0:D:6,2409:806C:4040:0:0:0:D:7^11^ToC^V7^223.103.89.193,223.103.89.194,223.103.89.195,223.103.89.196^2409:806D:290D:100::1:101,2409:806D:290D:100::1:102,2409:806D:290D:100::1:103,2409:806D:290D:100::1:104^110000^4407463783^26.855^否^虚拟网元^APP-XNCDxnqNFVO01AZX-08AHW010^APP-XNCDOMC02AZX-08AHW010^云南省^6^2021-05-14 00:00:00^^2409:806C:5A06:9005::0102:0109^云南省^^14^2760324^4410974176^^10.232.217.9^^0^^^^^^14^^^10607^^^UPF^2021-09-08 13:39:27^0^^^^^^^5100ZTHX2UPF3OL6AGL
KMUPF005BZX^工程^^2501611630^4518904134^核心机房-省级^39^V7.18.13^2409:806C:4040:0:0:0:0:10,2409:806C:4040:0:0:0:0:11,2409:806C:4040:0:0:0:0:12,2409:806C:4040:0:0:0:0:13,2409:806C:4040:0:0:0:0:14,2409:806C:4040:0:0:0:0:15,2409:806C:4040:0:0:0:0:16,2409:806C:4040:0:0:0:0:17^39^ToC^V7^117.142.233.17,117.142.233.18,117.142.233.19,117.142.233.20,117.142.233.21,117.142.233.22^2409:806D:2900:100::1:501,2409:806D:2900:100::1:502,2409:806D:2900:100::1:503,2409:806D:2900:100::1:504,2409:806D:2900:100::1:505,2409:806D:2900:100::1:506^390000^4407463784^95.215^否^虚拟网元^APP-XNCDxnqNFVO01AZX-08AHW010^APP-XNCDOMC02AZX-08AHW010^云南省^6^2021-05-12 00:00:00^^2409:806C:5A06:0305::0102:0509^云南省^^2^2760324^4410974177^^10.232.196.137^^0^^^^^^2^^^19^^^UPF^2021-09-08 13:45:25^0^^^^^^^5100ZTHX2UPF16N49WV
PUEUPF002BZX^工程^^15226^3690404682^核心机房-市级^18^V7.18.13^2409:806C:4040:0:0:0:9:C,2409:806C:4040:0:0:0:9:D,2409:806C:4040:0:0:0:9:E,2409:806C:4040:0:0:0:9:F^18^ToC^V7^223.103.89.89,223.103.89.90,223.103.89.91,223.103.89.92^2409:806D:2906:100::1:201,2409:806D:2906:100::1:202,2409:806D:2906:100::1:203,2409:806D:2906:100::1:204^180000^4407463772^43.945^否^虚拟网元^APP-XNCDxnqNFVO01AZX-08AHW010^APP-XNCDOMC02AZX-08AHW010^云南省^6^2021-06-04 00:00:00^^2409:806C:5A06:C003::0102:0209^云南省^^4^2760324^4410974178^^10.232.207.73^^0^^^^^^4^^^51^^^UPF^2021-09-08 13:26:20^0^^^^^^^5100ZTHX2UPF2RUOVE3
DIQUPF002BZX^工程^^4282764988^4520933914^核心机房-市级^3^V7.18.13^2409:806C:4040:0:0:0:C:C,2409:806C:4040:0:0:0:C:D,2409:806C:4040:0:0:0:C:E,2409:806C:4040:0:0:0:C:F^3^ToC^V7^223.103.89.233,223.103.89.234,223.103.89.235,223.103.89.236^2409:806D:290F:100::1:201,2409:806D:290F:100::1:202,2409:806D:290F:100::1:203,2409:806D:290F:100::1:204^30000^4407463767^7.324^否^虚拟网元^APP-XNCDxnqNFVO01AZX-08AHW010^APP-XNCDOMC02AZX-08AHW010^云南省^6^2021-05-12 00:00:00^^2409:806C:5A06:6003::0102:0209^云南省^^17^2760324^4410974179^^10.232.219.73^^0^^^^^^17^^^143^^^UPF^2021-09-08 13:41:19^0^^^^^^^5100ZTHX2UPF2VMJTMB
BSHUPF002BZX^工程^^15199^4520935802^核心机房-市级^19^V7.18.13^2409:806C:4040:0:0:0:5:C,2409:806C:4040:0:0:0:5:D,2409:806C:4040:0:0:0:5:E,2409:806C:4040:0:0:0:5:F^19^ToC^V7^223.103.89.121,223.103.89.122,223.103.89.123,223.103.89.124^2409:806D:2908:100::1:201,2409:806D:2908:100::1:202,2409:806D:2908:100::1:203,2409:806D:2908:100::1:204^190000^4407463780^46.387^否^虚拟网元^APP-XNCDxnqNFVO01AZX-08AHW010^APP-XNCDOMC02AZX-08AHW010^云南省^6^2021-06-02 00:00:00^^2409:806C:5A06:2003::0102:0209^云南省^^8^2760324^4410974180^^10.232.210.73^^0^^^^^^8^^^93^^^UPF^2021-09-08 13:24:15^0^^^^^^^5100ZTHX2UPF27TLXQN
KMUPFm002BHW^工程^^^^核心机房-省级^1.1700000000000002^20.5.1.15^^1.1700000000000002^ToB^^223.103.88.14^^12000^4394907512^8000^^虚拟网元^APP-XNCDxnqNFVO001AHW-08AHW010^5101HWHX4^云南省^5^2021-06-16 00:00:00^^2409:806c:5a06:307:0:0:113:284^云南省^^2,7,10,16,9,6,4,3,5^2760324^4410974181^^^^^^^^^^2^^^^^^^2021-08-03 19:26:34^0^^^^^^^5101HWHX4UPF6003224653824
